iso3,life,continent
AFG,60.49099642,Asia
AGO,62.64827403,Africa
ALB,76.53104591,Europe
ARE,80.1312721,Asia
ARG,76.22884718,South America
ARM,69.32859192,Asia
ATG,77.61326031,Other
AUS,83.36758916,Oceania
AUT,81.08512036,Europe
AZE,71.43112767,Asia
BDI,64.59433751,Africa
BEL,80.77564866,Europe
BEN,64.40363479,Africa
BFA,62.92621842,Africa
BGD,73.29812993,Asia
BGR,73.48961137,Europe
BHR,74.85398109,Other
BHS,72.61586296,North America
BIH,75.70792926,Europe
BLR,73.01027649,Europe
BLZ,74.69437572,North America
BOL,67.11714577,South America
BRA,74.11393563,South America
BRB,76.9491323,Other
BRN,76.76421584,Asia
BTN,74.45119684,Asia
BWA,65.16840503,Africa
CAF,53.07817181,Africa
CAN,81.29950989,North America
CHE,82.73602492,Europe
CHL,79.90385052,South America
CHN,77.48113543,Asia
CIV,63.31088991,Africa
CMR,62.18085382,Africa
COD,62.03594732,Africa
COG,63.35937843,Africa
COL,76.17457612,South America
COM,68.30703432,Other
CPV,73.66739044,Other
CRI,79.99304212,North America
CUB,77.63538969,North America
CYP,82.06263041,Asia
CZE,78.12978194,Europe
DEU,80.79637728,Europe
DJI,65.26548162,Africa
DNK,81.36821984,Europe
DOM,73.56757121,North America
DZA,74.02004217,Africa
ECU,72.71138213,South America
EGY,70.12068297,Africa
ERI,63.82002522,Africa
ESP,81.92498871,Europe
EST,78.62190265,Europe
ETH,68.79596101,Africa
FIN,81.54461744,Europe
FJI,67.71119355,Oceania
FRA,81.87409035,Other
FSM,65.67162273,Other
GAB,65.12601321,Africa
GBR,80.14044898,Europe
GEO,73.10852232,Asia
GHA,66.18136667,Africa
GIN,61.15586466,Africa
GMB,64.7871582,Africa
GNB,58.37604595,Africa
GNQ,61.15866176,Africa
GRC,80.6317386,Europe
GRD,75.35142309,Other
GTM,70.95988885,North America
GUY,66.93943966,South America
HND,70.3347631,North America
HRV,77.86469683,Europe
HTI,63.41051389,North America
HUN,75.76307465,Europe
IDN,69.70367312,Asia
IND,70.1869093,Asia
IRL,81.69720975,Europe
IRN,75.18860837,Asia
IRQ,70.41410059,Asia
ISL,82.56117418,Europe
ISR,82.36508912,Asia
ITA,81.93997914,Europe
JAM,72.64037778,North America
JOR,77.55988721,Asia
JPN,84.66324868,Asia
KAZ,71.3205391,Asia
KEN,66.79345007,Africa
KGZ,71.47082259,Asia
KHM,69.84097141,Asia
KIR,61.87697198,Other
KOR,83.79726372,Asia
KWT,78.76948984,Asia
LAO,68.74340275,Asia
LBN,77.70116098,Asia
LBR,63.45657848,Africa
LBY,72.64874878,Africa
LCA,75.63349527,Other
LKA,80.65621609,Asia
LSO,51.85352687,Africa
LTU,74.89538008,Europe
LUX,82.82955161,Europe
LVA,75.49885883,Europe
MAR,72.50615909,Africa
MDA,72.14867013,Europe
MDG,63.07628383,Africa
MDV,76.1908817,Other
MEX,70.94625179,North America
MKD,74.37069175,Europe
MLI,61.46815324,Africa
MLT,82.01477782,Other
MMR,68.86849549,Asia
MNE,75.47582429,Europe
MNG,72.70622882,Asia
MOZ,58.6314583,Africa
MRT,68.92697523,Africa
MUS,73.56975445,Other
MWI,63.46287777,Africa
MYS,76.78965822,Asia
NAM,63.75209779,Africa
NER,60.39192551,Africa
NGA,62.83540426,Africa
NIC,75.04233435,North America
NLD,81.40141308,Europe
NOR,82.83923455,Other
NPL,70.98964531,Asia
NZL,82.5016081,Oceania
OMN,73.88668102,Asia
PAK,65.84948383,Asia
PAN,77.34684989,North America
PER,72.7753962,South America
PHL,69.6404352,Asia
PNG,66.27049986,Oceania
POL,76.38788167,Europe
PRI,79.93442802,North America
PRK,72.37904945,Asia
PRT,80.81837464,Europe
PRY,75.24817035,South America
PSE,75.1341365,Asia
QAT,77.27588364,Asia
ROU,74.09623224,Europe
RUS,71.37748039,Europe
RWA,68.26351399,Africa
SAU,76.05844679,Asia
SDN,68.44077001,Africa
SEN,68.56112195,Africa
SGP,83.99653626,Other
SLB,65.39475136,Oceania
SLE,60.52060193,Africa
SLV,72.06392712,North America
SOM,55.12925544,Africa
SRB,74.43296608,Europe
SSD,58.94518456,Africa
STP,71.25244214,Other
SUR,72.80157877,South America
SVK,76.86888148,Europe
SVN,80.33576726,Europe
SWE,82.08200836,Europe
SWZ,55.96824586,Africa
SYC,77.26435364,Other
SYR,71.99813819,Asia
TCD,59.21180605,Africa
TGO,63.84914267,Africa
THA,76.50524949,Asia
TJK,70.55595856,Asia
TKM,68.47366895,Asia
TLS,68.91671885,Asia
TON,73.18678447,Other
TTO,73.63599489,North America
TUN,77.12175333,Africa
TUR,76.17525576,Asia
TZA,67.40275668,Africa
UGA,66.29850916,Africa
UKR,72.49786713,Europe
URY,77.79436073,South America
USA,76.89250856,North America
UZB,71.36099727,Asia
VCT,72.74742918,Other
VEN,72.40374475,South America
VNM,74.77582966,Asia
VUT,67.09750807,Oceania
WSM,70.19462777,Other
YEM,66.51267259,Asia
ZAF,64.30356494,Africa
ZMB,61.83164861,Africa
ZWE,59.40476255,Africa
