iso3,life,continent
AFG,53.82332641,Asia
AGO,49.36774351,Africa
ALB,73.68285742,Europe
ARE,78.11838329,Asia
ARG,74.28695107,South America
ARM,71.62172824,Asia
ATG,74.39228457,Other
AUS,79.69831946,Oceania
AUT,78.17598734,Europe
AZE,65.23458004,Asia
BDI,44.3609182,Africa
BEL,77.67190502,Europe
BEN,57.42109531,Africa
BFA,51.8877146,Africa
BGD,65.36178128,Asia
BGR,71.6428836,Europe
BHR,69.68563925,Other
BHS,70.96744554,North America
BIH,75.4599475,Europe
BLR,68.79296699,Europe
BLZ,70.09513226,North America
BOL,66.09385895,South America
BRA,71.4995438,South America
BRB,74.60503157,Other
BRN,75.50502993,Asia
BTN,65.98956136,Asia
BWA,47.16383585,Africa
CAF,44.23425766,Africa
CAN,79.08864173,North America
CHE,79.71469969,Europe
CHL,76.79721978,South America
CHN,70.83886138,Asia
CIV,51.16878476,Africa
CMR,52.95852821,Africa
COD,52.64392739,Africa
COG,52.21826617,Africa
COL,72.53854433,South America
COM,62.03733666,Other
CPV,71.69763358,Other
CRI,78.16621895,North America
CUB,76.74758667,North America
CYP,78.83247264,Asia
CZE,75.0301441,Europe
DEU,78.10603024,Europe
DJI,59.51993524,Africa
DNK,76.93482299,Europe
DOM,73.39790354,North America
DZA,72.46839135,Africa
ECU,72.58843233,South America
EGY,69.14860157,Africa
ERI,54.93355711,Africa
ESP,79.09037288,Europe
EST,70.96926531,Europe
ETH,50.78760514,Africa
FIN,77.59494705,Europe
FJI,65.82507716,Oceania
FRA,78.91105529,Other
FSM,63.55831516,Other
GAB,57.68875146,Africa
GBR,77.85839464,Europe
GEO,71.06803049,Asia
GHA,59.08500401,Africa
GIN,54.19541328,Africa
GMB,59.15410966,Africa
GNB,50.19859342,Africa
GNQ,54.03083545,Africa
GRC,78.42147917,Europe
GRD,71.59448817,Other
GTM,68.30883271,North America
GUY,64.65122902,South America
HND,69.7632118,North America
HRV,74.75166907,Europe
HTI,56.72887807,North America
HUN,71.36114531,Europe
IDN,67.20520958,Asia
IND,63.19893734,Asia
IRL,76.41796785,Europe
IRN,73.48542569,Asia
IRQ,69.48152045,Asia
ISL,79.6920726,Europe
ISR,78.54383666,Asia
ITA,79.36611399,Europe
JAM,72.25330071,North America
JOR,72.72227433,Asia
JPN,81.5301793,Asia
KAZ,64.35326131,Asia
KEN,54.09203911,Africa
KGZ,65.93470005,Asia
KHM,59.10171682,Asia
KIR,60.08437065,Other
KOR,75.85981554,Asia
KWT,77.57714875,Asia
LAO,58.27571315,Asia
LBN,75.71500924,Asia
LBR,53.27371266,Africa
LBY,74.0447285,Africa
LCA,73.2192679,Other
LKA,71.51130083,Asia
LSO,47.38127672,Africa
LTU,71.99825868,Europe
LUX,78.4163246,Europe
LVA,70.21458573,Europe
MAR,70.19460372,Africa
MDA,65.65922366,Europe
MDG,58.73234782,Africa
MDV,69.82223985,Other
MEX,74.21831002,North America
MKD,72.94763036,Europe
MLI,53.05862872,Africa
MLT,77.81522196,Other
MMR,59.37966802,Asia
MNE,73.43360465,Europe
MNG,63.19839599,Asia
MOZ,50.95314578,Africa
MRT,62.9207429,Africa
MUS,71.13541086,Other
MWI,44.64126346,Africa
MYS,73.01343106,Asia
NAM,53.02475546,Africa
NER,50.24298341,Africa
NGA,54.05766545,Africa
NIC,76.18011127,North America
NLD,78.01203729,Europe
NOR,78.53510862,Other
NPL,65.36598722,Asia
NZL,78.57519182,Oceania
OMN,71.65888476,Asia
PAK,61.40857442,Asia
PAN,76.15178489,North America
PER,75.12364237,South America
PHL,69.97452897,Asia
PNG,63.35685153,Oceania
POL,73.69538073,Europe
PRI,76.24708096,North America
PRK,62.51800133,Asia
PRT,76.58820219,Europe
PRY,74.68296704,South America
PSE,69.88946674,Asia
QAT,70.38243907,Asia
ROU,71.14174922,Europe
RUS,65.15997475,Europe
RWA,46.89447249,Africa
SAU,70.56634565,Asia
SDN,62.48898469,Africa
SEN,58.6097114,Africa
SGP,78.52088806,Other
SLB,63.397598,Oceania
SLE,49.78648969,Africa
SLV,71.64575132,North America
SOM,49.28203144,Africa
SRB,71.49721977,Europe
SSD,51.90046634,Africa
STP,63.12867264,Other
SUR,70.55904903,South America
SVK,73.32287483,Europe
SVN,76.05440169,Europe
SWE,79.57418828,Europe
SWZ,46.7774174,Africa
SYC,72.10530836,Other
SYR,71.08679254,Asia
TCD,51.16932904,Africa
TGO,56.07824585,Africa
THA,71.0119193,Asia
TJK,65.64695846,Asia
TKM,65.56917712,Asia
TLS,62.86576561,Asia
TON,70.95399808,Other
TTO,70.4199372,North America
TUN,74.30098477,Africa
TUR,73.31499528,Asia
TZA,52.79227334,Africa
UGA,48.8900405,Africa
UKR,67.55459596,Europe
URY,74.87862057,South America
USA,76.65847648,North America
UZB,61.67667881,Asia
VCT,71.66187212,Other
VEN,74.03248641,South America
VNM,71.87399979,Asia
VUT,64.92630401,Oceania
WSM,69.60483332,Other
YEM,63.08164608,Asia
ZAF,57.11947907,Africa
ZMB,44.52713939,Africa
ZWE,45.74529001,Africa
