iso3,life,continent
AFG,59.12690224,Asia
AGO,62.13113467,Africa
ALB,76.39089034,Europe
ARE,78.30645695,Asia
ARG,74.56898059,South America
ARM,72.98458202,Asia
ATG,76.91527032,Other
AUS,83.10183853,Oceania
AUT,80.99297519,Europe
AZE,72.9129401,Asia
BDI,64.00694993,Africa
BEL,81.5059627,Europe
BEN,64.01268515,Africa
BFA,62.29728841,Africa
BGD,73.10251672,Asia
BGR,71.30586,Europe
BHR,74.38371772,Other
BHS,70.43274063,North America
BIH,74.84944487,Europe
BLR,73.12324771,Europe
BLZ,73.32055336,North America
BOL,65.41062535,South America
BRA,72.38840694,South America
BRB,76.8418344,Other
BRN,76.92260844,Asia
BTN,74.87642848,Asia
BWA,61.23119159,Africa
CAF,52.30772755,Africa
CAN,81.58276248,North America
CHE,83.32795777,Europe
CHL,79.02404788,South America
CHN,77.61619672,Asia
CIV,63.5174083,Africa
CMR,61.76934896,Africa
COD,61.62552641,Africa
COG,63.17262301,Africa
COL,74.53297363,South America
COM,67.4970386,Other
CPV,73.16097765,Other
CRI,78.63053412,North America
CUB,73.67333077,North America
CYP,81.912741,Asia
CZE,77.07730392,Europe
DEU,80.49140555,Europe
DJI,64.87227149,Africa
DNK,81.18400442,Europe
DOM,73.32102758,North America
DZA,75.97765182,Africa
ECU,73.95801182,South America
EGY,69.10821615,Africa
ERI,63.57308435,Africa
ESP,82.66267258,Europe
EST,77.13131363,Europe
ETH,67.83909086,Africa
FIN,81.53419484,Europe
FJI,65.50058445,Oceania
FRA,81.92274175,Other
FSM,65.70956674,Other
GAB,65.09380891,Africa
GBR,80.10062783,Europe
GEO,71.24038597,Asia
GHA,66.10178519,Africa
GIN,61.26251027,Africa
GMB,64.21396887,Africa
GNB,58.62801846,Africa
GNQ,61.60542301,Africa
GRC,79.59785025,Europe
GRD,72.77322454,Other
GTM,68.69573697,North America
GUY,66.0777533,South America
HND,68.96309289,North America
HRV,76.8616792,Europe
HTI,62.4563858,North America
HUN,74.39546955,Europe
IDN,68.26167935,Asia
IND,67.30780612,Asia
IRL,81.60162902,Europe
IRN,74.71077692,Asia
IRQ,71.46632369,Asia
ISL,82.57766731,Europe
ISR,81.74464677,Asia
ITA,82.19747411,Europe
JAM,70.1439437,North America
JOR,75.64973596,Asia
JPN,84.46067178,Asia
KAZ,70.27511981,Asia
KEN,66.76221995,Africa
KGZ,72.18500345,Asia
KHM,68.92399972,Asia
KIR,60.87345633,Other
KOR,83.79982334,Asia
KWT,78.95211671,Asia
LAO,68.23189407,Asia
LBN,74.34207035,Asia
LBR,63.45730846,Africa
LBY,72.17844009,Africa
LCA,71.1130421,Other
LKA,77.22895472,Asia
LSO,51.47907482,Africa
LTU,74.13314711,Europe
LUX,82.78028566,Europe
LVA,73.20251724,Europe
MAR,72.61868352,Africa
MDA,69.55780877,Europe
MDG,62.9342555,Africa
MDV,75.39664085,Other
MEX,70.83258685,North America
MKD,72.99535604,Europe
MLI,61.67398609,Africa
MLT,81.81193837,Other
MMR,67.84580637,Asia
MNE,74.70975149,Europe
MNG,70.09795294,Asia
MOZ,57.66202708,Africa
MRT,68.86843813,Africa
MUS,73.41967032,Other
MWI,62.48652597,Africa
MYS,72.8101035,Asia
NAM,60.35994599,Africa
NER,59.97070525,Africa
NGA,63.3974984,Africa
NIC,75.02796138,North America
NLD,81.12478594,Europe
NOR,82.88199872,Other
NPL,70.04936795,Asia
NZL,82.20149177,Oceania
OMN,72.47676726,Asia
PAK,65.99092295,Asia
PAN,77.23869904,North America
PER,71.66727055,South America
PHL,66.40834182,Asia
PNG,65.48786529,Oceania
POL,75.4021086,Europe
PRI,79.90294803,North America
PRK,72.6431485,Asia
PRT,81.17961003,Europe
PRY,70.27080999,South America
PSE,73.49178033,Asia
QAT,76.7101384,Asia
ROU,72.76430945,Europe
RUS,70.017337,Europe
RWA,67.54213882,Africa
SAU,76.42921259,Asia
SDN,67.58515204,Africa
SEN,67.79198263,Africa
SGP,83.85708962,Other
SLB,64.79245685,Oceania
SLE,61.0228635,Africa
SLV,71.66703998,North America
SOM,53.95143945,Africa
SRB,72.80891574,Europe
SSD,58.57353884,Africa
STP,71.17810896,Other
SUR,69.78412349,South America
SVK,74.50941328,Europe
SVN,80.41495666,Europe
SWE,82.6649092,Europe
SWZ,54.59266973,Africa
SYC,74.01196664,Other
SYR,72.43803165,Asia
TCD,59.08581443,Africa
TGO,63.86461122,Africa
THA,75.29014364,Asia
TJK,71.814877,Asia
TKM,69.12049331,Asia
TLS,67.99671222,Asia
TON,72.72088222,Other
TTO,71.70712647,North America
TUN,74.06842662,Africa
TUR,75.27238945,Asia
TZA,66.8101483,Africa
UGA,65.98577935,Africa
UKR,70.90674708,Europe
URY,74.98295244,South America
USA,76.37368104,North America
UZB,72.18877681,Asia
VCT,72.55709418,Other
VEN,71.22082891,South America
VNM,73.7965773,Asia
VUT,66.3483713,Oceania
WSM,70.27372108,Other
YEM,65.76206783,Asia
ZAF,61.49918805,Africa
ZMB,60.96884286,Africa
ZWE,58.48102238,Africa
