iso3,life,continent
AFG,56.08520691,Asia
AGO,51.74053195,Africa
ALB,74.94215534,Europe
ARE,78.5604186,Asia
ARG,74.25492535,South America
ARM,71.70802942,Asia
ATG,75.21279447,Other
AUS,80.56634063,Oceania
AUT,78.62740132,Europe
AZE,66.74212235,Asia
BDI,47.93043118,Africa
BEL,78.11449295,Europe
BEN,58.45855402,Africa
BFA,53.57987835,Africa
BGD,66.7835174,Asia
BGR,72.29415331,Europe
BHR,70.65076259,Other
BHS,72.01356703,North America
BIH,76.3852253,Europe
BLR,68.37573872,Europe
BLZ,71.80038956,North America
BOL,67.7351254,South America
BRA,72.30491342,South America
BRB,74.55086448,Other
BRN,76.10651217,Asia
BTN,68.38453582,Asia
BWA,48.30164814,Africa
CAF,45.20505974,Africa
CAN,79.5801332,North America
CHE,80.40439825,Europe
CHL,77.44592963,South America
CHN,71.68827313,Asia
CIV,52.20445217,Africa
CMR,53.05889292,Africa
COD,53.6935484,Africa
COG,54.50087703,Africa
COL,73.54484514,South America
COM,63.63164331,Other
CPV,72.33302782,Other
CRI,78.7075014,North America
CUB,77.44238196,North America
CYP,79.11243929,Asia
CZE,75.26103133,Europe
DEU,78.45648391,Europe
DJI,59.65312998,Africa
DNK,77.31785032,Europe
DOM,73.229535,North America
DZA,73.27414327,Africa
ECU,73.9172371,South America
EGY,68.78353005,Africa
ERI,57.22781288,Africa
ESP,79.41351479,Europe
EST,71.87885357,Europe
ETH,54.78484585,Africa
FIN,78.41020069,Europe
FJI,66.62544107,Oceania
FRA,79.09102734,Other
FSM,64.10175678,Other
GAB,58.21558345,Africa
GBR,78.14795765,Europe
GEO,70.79663901,Asia
GHA,59.53762932,Africa
GIN,55.63757789,Africa
GMB,59.85443013,Africa
GNB,51.43513822,Africa
GNQ,55.73628907,Africa
GRC,79.0919372,Europe
GRD,70.832783,Other
GTM,69.39160529,North America
GUY,64.68058964,South America
HND,70.19195664,North America
HRV,74.86052687,Europe
HTI,57.92054551,North America
HUN,72.45014443,Europe
IDN,67.84714276,Asia
IND,64.58440423,Asia
IRL,78.02379273,Europe
IRN,73.34953209,Asia
IRQ,68.91366628,Asia
ISL,80.56916041,Europe
ISR,79.09724844,Asia
ITA,79.81728413,Europe
JAM,73.46076447,North America
JOR,73.51735567,Asia
JPN,82.14025197,Asia
KAZ,64.77834271,Asia
KEN,54.91168271,Africa
KGZ,66.27050684,Asia
KHM,61.89363505,Asia
KIR,60.80039427,Other
KOR,77.4435747,Asia
KWT,78.76242947,Asia
LAO,60.19558269,Asia
LBN,76.80310121,Asia
LBR,53.6245833,Africa
LBY,73.51059338,Africa
LCA,73.77614845,Other
LKA,73.36803088,Asia
LSO,45.64538324,Africa
LTU,71.84648999,Europe
LUX,79.03207074,Europe
LVA,70.55494078,Europe
MAR,70.88040999,Africa
MDA,66.19700504,Europe
MDG,59.72543671,Africa
MDV,71.62171461,Other
MEX,74.62788874,North America
MKD,73.22933201,Europe
MLI,54.85059982,Africa
MLT,78.67686,Other
MMR,60.64224077,Asia
MNE,73.62012454,Europe
MNG,64.44695031,Asia
MOZ,51.67123667,Africa
MRT,64.83743491,Africa
MUS,71.8438719,Other
MWI,47.14250921,Africa
MYS,73.62194031,Asia
NAM,51.39447349,Africa
NER,52.7806989,Africa
NGA,55.58470303,Africa
NIC,75.81400954,North America
NLD,78.52543386,Europe
NOR,79.39711298,Other
NPL,67.3578409,Asia
NZL,79.05551434,Oceania
OMN,72.75427676,Asia
PAK,62.14630981,Asia
PAN,76.1866534,North America
PER,76.35423675,South America
PHL,69.52481782,Asia
PNG,63.55882521,Oceania
POL,74.54799786,Europe
PRI,77.39170794,North America
PRK,69.38323785,Asia
PRT,77.31485554,Europe
PRY,75.00581985,South America
PSE,69.63177214,Asia
QAT,70.55987989,Asia
ROU,71.23111832,Europe
RUS,64.72303979,Europe
RWA,52.47567981,Africa
SAU,71.30662801,Asia
SDN,63.67737719,Africa
SEN,60.79093407,Africa
SGP,79.61117466,Other
SLB,63.54307905,Oceania
SLE,51.5179057,Africa
SLV,73.05229991,North America
SOM,49.50039991,Africa
SRB,72.44791076,Europe
SSD,54.40318481,Africa
STP,65.23040933,Other
SUR,70.50252643,South America
SVK,73.78042489,Europe
SVN,76.34395429,Europe
SWE,80.00643909,Europe
SWZ,42.59286029,Africa
SYC,72.02646689,Other
SYR,72.65734085,Asia
TCD,52.10728656,Africa
TGO,56.35238007,Africa
THA,72.03975902,Asia
TJK,67.57088192,Asia
TKM,65.88787813,Asia
TLS,64.51597993,Asia
TON,71.25830559,Other
TTO,70.96473433,North America
TUN,74.95127697,Africa
TUR,75.30413279,Asia
TZA,54.98804057,Africa
UGA,51.68238982,Africa
UKR,67.52472284,Europe
URY,74.80937399,South America
USA,76.98967151,North America
UZB,62.74285785,Asia
VCT,72.24268792,Other
VEN,73.64690409,South America
VNM,72.11217075,Asia
VUT,65.08697701,Oceania
WSM,70.05898224,Other
YEM,64.67397283,Asia
ZAF,52.93394541,Africa
ZMB,47.10240747,Africa
ZWE,45.01274563,Africa
