iso3,life,continent
AFG,56.79050349,Asia
AGO,53.34585395,Africa
ALB,74.20683098,Europe
ARE,79.38497277,Asia
ARG,75.25530861,South America
ARM,72.0754129,Asia
ATG,75.53604558,Other
AUS,80.84134964,Oceania
AUT,79.32619587,Europe
AZE,67.44595807,Asia
BDI,50.9090504,Africa
BEL,78.85239236,Europe
BEN,59.21023989,Africa
BFA,55.19811279,Africa
BGD,67.78759761,Asia
BGR,72.47648279,Europe
BHR,71.32084892,Other
BHS,72.65880067,North America
BIH,76.54879498,Europe
BLR,68.69743153,Europe
BLZ,72.3988756,North America
BOL,68.73158288,South America
BRA,73.14791265,South America
BRB,74.96322109,Other
BRN,76.47714892,Asia
BTN,69.36895355,Asia
BWA,53.16798551,Africa
CAF,46.14092523,Africa
CAN,79.95094625,North America
CHE,81.11493442,Europe
CHL,78.0049121,South America
CHN,72.44256077,Asia
CIV,53.84685304,Africa
CMR,54.1270059,Africa
COD,54.94182979,Africa
COG,56.51057672,Africa
COL,74.43998835,South America
COM,64.27700657,Other
CPV,72.6194338,Other
CRI,79.72199388,North America
CUB,77.20755679,North America
CYP,79.53715992,Asia
CZE,75.99869845,Europe
DEU,79.20819712,Europe
DJI,60.0931017,Africa
DNK,78.13130379,Europe
DOM,72.80023496,North America
DZA,74.07853584,Africa
ECU,73.75770165,South America
EGY,69.52274009,Africa
ERI,58.13577563,Africa
ESP,80.00981734,Europe
EST,72.88570642,Europe
ETH,57.02975496,Africa
FIN,78.98273143,Europe
FJI,67.08454719,Oceania
FRA,80.00456559,Other
FSM,64.2139938,Other
GAB,59.68914077,Africa
GBR,78.91215,Europe
GEO,72.04358005,Asia
GHA,60.06629663,Africa
GIN,56.45301837,Africa
GMB,60.52311247,Africa
GNB,52.21818539,Africa
GNQ,56.77339509,Africa
GRC,79.40149641,Europe
GRD,70.64904308,Other
GTM,69.30530428,North America
GUY,65.05195592,South America
HND,70.54437222,North America
HRV,75.47609796,Europe
HTI,58.63996581,North America
HUN,72.84811882,Europe
IDN,68.2347183,Asia
IND,65.53031169,Asia
IRL,78.82008327,Europe
IRN,74.88504507,Asia
IRQ,68.68305138,Asia
ISL,80.90304444,Europe
ISR,79.7067797,Asia
ITA,80.51057716,Europe
JAM,71.36246208,North America
JOR,73.42688191,Asia
JPN,82.23817071,Asia
KAZ,65.06712568,Asia
KEN,56.3951405,Africa
KGZ,67.04293061,Asia
KHM,63.57944693,Asia
KIR,61.01859221,Other
KOR,78.37092125,Asia
KWT,78.37752584,Asia
LAO,61.3511366,Asia
LBN,77.17133641,Asia
LBR,57.55945739,Africa
LBY,74.01467345,Africa
LCA,74.35093561,Other
LKA,73.48476487,Asia
LSO,42.6642992,Africa
LTU,71.1036825,Europe
LUX,79.5758462,Europe
LVA,70.49159571,Europe
MAR,71.23383994,Africa
MDA,65.99301769,Europe
MDG,60.67184175,Africa
MDV,72.865727,Other
MEX,74.92683948,North America
MKD,73.73592756,Europe
MLI,56.25739607,Africa
MLT,79.12587951,Other
MMR,61.61985762,Asia
MNE,73.98743557,Europe
MNG,65.26255095,Asia
MOZ,51.92845833,Africa
MRT,65.90883345,Africa
MUS,72.14096947,Other
MWI,49.35021214,Africa
MYS,74.06194883,Asia
NAM,52.83409474,Africa
NER,54.754071,Africa
NGA,56.9174905,Africa
NIC,75.7199093,North America
NLD,79.34144338,Europe
NOR,80.05177352,Other
NPL,68.18944823,Asia
NZL,79.93637338,Oceania
OMN,73.361458,Asia
PAK,61.99158191,Asia
PAN,76.45196957,North America
PER,77.53672089,South America
PHL,69.36187224,Asia
PNG,63.68705774,Oceania
POL,74.89551806,Europe
PRI,77.60317033,North America
PRK,69.62778426,Asia
PRT,77.99178078,Europe
PRY,74.85137666,South America
PSE,70.5600974,Asia
QAT,71.03950228,Asia
ROU,72.09847343,Europe
RUS,65.18978014,Europe
RWA,57.02758036,Africa
SAU,71.81634573,Asia
SDN,64.87410418,Africa
SEN,62.36297007,Africa
SGP,80.54232367,Other
SLB,63.69667846,Oceania
SLE,52.10902537,Africa
SLV,73.40349475,North America
SOM,49.79233436,Africa
SRB,72.78382532,Europe
SSD,55.89935062,Africa
STP,66.27283192,Other
SUR,71.23039924,South America
SVK,74.09775351,Europe
SVN,77.44125575,Europe
SWE,80.4243719,Europe
SWZ,41.77987727,Africa
SYC,72.35775752,Other
SYR,73.23261717,Asia
TCD,52.94619682,Africa
TGO,56.95869918,Africa
THA,72.83579766,Asia
TJK,68.16382022,Asia
TKM,65.28550391,Asia
TLS,65.67751029,Asia
TON,71.97193468,Other
TTO,71.67544737,North America
TUN,75.37276042,Africa
TUR,76.19636776,Asia
TZA,56.55203228,Africa
UGA,54.81013228,Africa
UKR,67.10598289,Europe
URY,75.64994667,South America
USA,77.38462128,North America
UZB,63.20028511,Asia
VCT,72.5595686,Other
VEN,74.71197022,South America
VNM,72.17650018,Asia
VUT,65.24030241,Oceania
WSM,70.24626535,Other
YEM,65.75114077,Asia
ZAF,52.03156981,Africa
ZMB,50.2612912,Africa
ZWE,45.7065362,Africa
