iso3,life,continent
AFG,60.8752198,Asia
AGO,62.03682911,Africa
ALB,77.91038596,Europe
ARE,80.92702059,Asia
ARG,76.64354126,South America
ARM,75.18435169,Asia
ATG,75.565575,Other
AUS,82.67971308,Oceania
AUT,81.38857295,Europe
AZE,74.6254737,Asia
BDI,63.68241574,Africa
BEL,81.1512532,Europe
BEN,63.34863103,Africa
BFA,61.8809308,Africa
BGD,73.37868377,Asia
BGR,74.71989724,Europe
BHR,75.71095601,Other
BHS,73.21936648,North America
BIH,77.24910311,Europe
BLR,74.22729868,Europe
BLZ,74.56128899,North America
BOL,72.44784311,South America
BRA,74.98912241,South America
BRB,76.33626177,Other
BRN,76.40513341,Asia
BTN,73.54716542,Asia
BWA,64.01180659,Africa
CAF,51.26742466,Africa
CAN,81.70954318,North America
CHE,83.13986197,Europe
CHL,80.65876294,South America
CHN,76.94625698,Asia
CIV,62.27592918,Africa
CMR,60.64260038,Africa
COD,60.84101636,Africa
COG,62.84312978,Africa
COL,77.7944403,South America
COM,67.83204139,Other
CPV,74.91155361,Other
CRI,80.19506162,North America
CUB,77.65330792,North America
CYP,81.86957092,Asia
CZE,78.85473024,Europe
DEU,80.75116875,Europe
DJI,64.73030842,Africa
DNK,80.94104357,Europe
DOM,73.41062894,North America
DZA,76.40431934,Africa
ECU,77.31252311,South America
EGY,71.25138812,Africa
ERI,63.17091217,Africa
ESP,82.67579627,Europe
EST,78.2161445,Europe
ETH,68.0726745,Africa
FIN,81.32143707,Europe
FJI,67.87169424,Oceania
FRA,82.17093951,Other
FSM,65.6570782,Other
GAB,64.52552888,Africa
GBR,80.92411386,Europe
GEO,73.50475808,Asia
GHA,65.08594377,Africa
GIN,60.25359445,Africa
GMB,64.31746247,Africa
GNB,58.3521892,Africa
GNQ,61.20572328,Africa
GRC,80.69403193,Europe
GRD,72.61647079,Other
GTM,72.69594645,North America
GUY,68.19380586,South America
HND,71.27116934,North America
HRV,78.12551064,Europe
HTI,63.2460029,North America
HUN,75.90176306,Europe
IDN,71.00063238,Asia
IND,70.06082604,Asia
IRL,81.60361469,Europe
IRN,77.47896726,Asia
IRQ,71.60611249,Asia
ISL,82.27340584,Europe
ISR,82.38134543,Asia
ITA,82.52191209,Europe
JAM,72.33086714,North America
JOR,79.14251842,Asia
JPN,84.25809871,Asia
KAZ,72.96750185,Asia
KEN,65.61126491,Africa
KGZ,72.80933995,Asia
KHM,69.12694998,Asia
KIR,61.81777917,Other
KOR,83.09217588,Asia
KWT,82.62315795,Asia
LAO,67.7232745,Asia
LBN,79.03043282,Asia
LBR,62.62958569,Africa
LBY,73.15169822,Africa
LCA,76.138896,Other
LKA,76.91196371,Asia
LSO,51.05416565,Africa
LTU,75.48786469,Europe
LUX,82.70166924,Europe
LVA,74.9627685,Europe
MAR,73.53352195,Africa
MDA,72.85856435,Europe
MDG,63.57935928,Africa
MDV,78.16955603,Other
MEX,75.87022362,North America
MKD,75.98451895,Europe
MLI,61.01919215,Africa
MLT,82.05744637,Other
MMR,67.95077876,Asia
MNE,77.14980899,Europe
MNG,70.09899409,Asia
MOZ,57.33253714,Africa
MRT,69.81185094,Africa
MUS,74.11525101,Other
MWI,62.5519407,Africa
MYS,74.40097684,Asia
NAM,62.37183813,Africa
NER,60.22725166,Africa
NGA,62.36209316,Africa
NIC,78.50836352,North America
NLD,81.52798471,Europe
NOR,82.33383151,Other
NPL,70.84484004,Asia
NZL,81.16380852,Oceania
OMN,74.14573276,Asia
PAK,66.3818317,Asia
PAN,78.33177954,North America
PER,79.35847297,South America
PHL,69.6392585,Asia
PNG,66.39410121,Oceania
POL,77.56192606,Europe
PRI,78.42817699,North America
PRK,71.92237066,Asia
PRT,81.14657369,Europe
PRY,75.34684774,South America
PSE,75.45369565,Asia
QAT,78.5144035,Asia
ROU,75.11122981,Europe
RUS,72.49941608,Europe
RWA,67.42986245,Africa
SAU,76.74293531,Asia
SDN,69.04016145,Africa
SEN,68.11975233,Africa
SGP,83.22151158,Other
SLB,65.4106128,Oceania
SLE,59.15812369,Africa
SLV,73.71813956,North America
SOM,54.18246164,Africa
SRB,75.57063328,Europe
SSD,58.88284459,Africa
STP,71.25615442,Other
SUR,73.2092718,South America
SVK,77.09456027,Europe
SVN,80.7898907,Europe
SWE,82.0845963,Europe
SWZ,53.80924436,Africa
SYC,73.0936681,Other
SYR,59.23626681,Asia
TCD,58.6099778,Africa
TGO,62.55310805,Africa
THA,77.22944399,Asia
TJK,73.18915767,Asia
TKM,68.97743987,Asia
TLS,68.23558592,Asia
TON,72.71571833,Other
TTO,74.00520612,North America
TUN,77.03145853,Africa
TUR,77.07084923,Asia
TZA,65.98183854,Africa
UGA,65.21733648,Africa
UKR,73.00099017,Europe
URY,77.33933717,South America
USA,78.50077044,North America
UZB,70.40271496,Asia
VCT,73.09125438,Other
VEN,72.98365736,South America
VNM,73.40138207,Asia
VUT,66.98064455,Oceania
WSM,69.98522366,Other
YEM,67.67597451,Asia
ZAF,64.74836762,Africa
ZMB,61.28533224,Africa
ZWE,58.23863624,Africa
