iso3,life,continent
AFG,60.32951348,Asia
AGO,61.59307464,Africa
ALB,77.76638448,Europe
ARE,80.71356774,Asia
ARG,76.5300965,South America
ARM,74.27859114,Asia
ATG,75.61540401,Other
AUS,82.287472,Oceania
AUT,80.98621911,Europe
AZE,73.62700051,Asia
BDI,62.7069542,Africa
BEL,80.70631194,Europe
BEN,62.62662,Africa
BFA,60.94298433,Africa
BGD,73.19207211,Asia
BGR,74.56358707,Europe
BHR,75.75082454,Other
BHS,72.92357543,North America
BIH,76.9957646,Europe
BLR,73.73950531,Europe
BLZ,74.30568158,North America
BOL,71.94895895,South America
BRA,74.711289,South America
BRB,76.29023437,Other
BRN,76.55761257,Asia
BTN,73.07489389,Asia
BWA,62.04575871,Africa
CAF,50.96983096,Africa
CAN,81.64860674,North America
CHE,82.58994495,Europe
CHL,80.12508082,South America
CHN,76.5103545,Asia
CIV,60.9342411,Africa
CMR,58.9843954,Africa
COD,59.96244072,Africa
COG,62.05475682,Africa
COL,77.34484367,South America
COM,67.42647275,Other
CPV,74.82831017,Other
CRI,80.57423676,North America
CUB,77.92972815,North America
CYP,81.80149333,Asia
CZE,78.48257933,Europe
DEU,80.4259243,Europe
DJI,63.87735947,Africa
DNK,80.59412958,Europe
DOM,73.29460988,North America
DZA,76.06909233,Africa
ECU,77.15293465,South America
EGY,70.05641038,Africa
ERI,62.5177156,Africa
ESP,82.32940416,Europe
EST,77.63428878,Europe
ETH,67.10395358,Africa
FIN,81.19884704,Europe
FJI,67.8018416,Oceania
FRA,81.90513823,Other
FSM,65.32541233,Other
GAB,64.00078432,Africa
GBR,80.65863594,Europe
GEO,72.85013916,Asia
GHA,64.33720534,Africa
GIN,59.19807943,Africa
GMB,63.79523685,Africa
GNB,57.5801364,Africa
GNQ,61.12739135,Africa
GRC,80.41608244,Europe
GRD,72.54736101,Other
GTM,72.0454314,North America
GUY,66.95276619,South America
HND,69.52898147,North America
HRV,77.60709528,Europe
HTI,62.5149437,North America
HUN,75.5700037,Europe
IDN,70.53899644,Asia
IND,69.3779891,Asia
IRL,81.13790588,Europe
IRN,77.27827213,Asia
IRQ,71.00605468,Asia
ISL,82.12605142,Europe
ISR,81.91113219,Asia
ITA,82.20433624,Europe
JAM,72.28943851,North America
JOR,78.50941007,Asia
JPN,83.99957263,Asia
KAZ,71.97923102,Asia
KEN,64.29968929,Africa
KGZ,71.54340028,Asia
KHM,68.66739766,Asia
KIR,61.68537375,Other
KOR,82.40187033,Asia
KWT,81.44722022,Asia
LAO,66.87363139,Asia
LBN,78.43741249,Asia
LBR,60.37754989,Africa
LBY,72.65332031,Africa
LCA,76.39243252,Other
LKA,76.44590803,Asia
LSO,48.83813559,Africa
LTU,74.36612877,Europe
LUX,82.3849065,Europe
LVA,74.8108617,Europe
MAR,73.26259745,Africa
MDA,71.14655162,Europe
MDG,63.35879155,Africa
MDV,77.25297582,Other
MEX,75.93967708,North America
MKD,75.34082067,Europe
MLI,60.12125985,Africa
MLT,81.67976101,Other
MMR,67.42672255,Asia
MNE,76.86028429,Europe
MNG,69.246045,Asia
MOZ,55.85530982,Africa
MRT,69.45426817,Africa
MUS,74.12593279,Other
MWI,61.82512095,Africa
MYS,74.27826363,Asia
NAM,61.8615054,Africa
NER,59.63358442,Africa
NGA,61.73359862,Africa
NIC,78.26048387,North America
NLD,81.28069061,Europe
NOR,81.99495023,Other
NPL,69.77673885,Asia
NZL,81.31375727,Oceania
OMN,73.77326508,Asia
PAK,65.69975806,Asia
PAN,78.14484121,North America
PER,80.33747677,South America
PHL,69.51615532,Asia
PNG,66.00102041,Oceania
POL,77.27808527,Europe
PRI,80.5149692,North America
PRK,71.407681,Asia
PRT,80.89189476,Europe
PRY,75.16683709,South America
PSE,74.56005234,Asia
QAT,77.79140376,Asia
ROU,74.90936922,Europe
RUS,71.29790344,Europe
RWA,66.96378175,Africa
SAU,76.88889936,Asia
SDN,68.32706556,Africa
SEN,67.3624183,Africa
SGP,82.84921063,Other
SLB,65.15166823,Oceania
SLE,56.88673236,Africa
SLV,72.73292352,North America
SOM,53.54338351,Africa
SRB,75.27946837,Europe
SSD,59.27637583,Africa
STP,70.55687146,Other
SUR,72.9788443,South America
SVK,76.59625031,Europe
SVN,80.46318817,Europe
SWE,81.74239456,Europe
SWZ,52.11336327,Africa
SYC,73.16237091,Other
SYR,60.0056598,Asia
TCD,57.84629101,Africa
TGO,61.52164894,Africa
THA,76.97043175,Asia
TJK,72.37216019,Asia
TKM,68.83222809,Asia
TLS,67.83593705,Asia
TON,72.46352791,Other
TTO,74.35412517,North America
TUN,76.78627015,Africa
TUR,76.68525905,Asia
TZA,65.15719683,Africa
UGA,64.2155816,Africa
UKR,72.14894514,Europe
URY,77.09925201,South America
USA,78.61058161,North America
UZB,69.42591804,Asia
VCT,72.79473614,Other
VEN,73.93795547,South America
VNM,73.03125783,Asia
VUT,66.79010699,Oceania
WSM,70.01944065,Other
YEM,68.25299786,Asia
ZAF,63.26267522,Africa
ZMB,60.4135173,Africa
ZWE,57.4934476,Africa
