iso3,life,continent
AFG,55.15447775,Asia
AGO,51.05750193,Africa
ALB,75.48885772,Europe
ARE,78.35124382,Asia
ARG,74.2583112,South America
ARM,71.58333169,Asia
ATG,74.99067045,Other
AUS,80.19005718,Oceania
AUT,78.70354232,Europe
AZE,66.7152002,Asia
BDI,46.77202104,Africa
BEL,78.01455674,Europe
BEN,58.09380517,Africa
BFA,52.90685822,Africa
BGD,66.35390682,Asia
BGR,72.11466914,Europe
BHR,70.59694491,Other
BHS,71.58107452,North America
BIH,76.09726725,Europe
BLR,67.90677805,Europe
BLZ,71.34369042,North America
BOL,67.18430642,South America
BRA,72.03662703,South America
BRB,74.85759375,Other
BRN,75.90522385,Asia
BTN,67.84566543,Asia
BWA,46.95490275,Africa
CAF,44.77185837,Africa
CAN,79.42214804,North America
CHE,80.41025592,Europe
CHL,77.34180988,South America
CHN,71.4546616,Asia
CIV,51.80536737,Africa
CMR,52.90318218,Africa
COD,53.2535703,Africa
COG,53.80580675,Africa
COL,72.8310481,South America
COM,63.12089097,Other
CPV,72.18506527,Other
CRI,78.85732142,North America
CUB,77.74907347,North America
CYP,78.99615853,Asia
CZE,75.36384265,Europe
DEU,78.46153264,Europe
DJI,59.49469647,Africa
DNK,77.0288458,Europe
DOM,73.59133884,North America
DZA,73.0881827,Africa
ECU,73.16724011,South America
EGY,68.85252001,Africa
ERI,56.7567552,Africa
ESP,79.48845207,Europe
EST,71.18420468,Europe
ETH,53.81305038,Africa
FIN,78.12614307,Europe
FJI,66.70441423,Oceania
FRA,79.14448316,Other
FSM,62.91664429,Other
GAB,58.05614161,Africa
GBR,78.07797235,Europe
GEO,69.8928645,Asia
GHA,59.31647181,Africa
GIN,55.1808226,Africa
GMB,59.58972076,Africa
GNB,51.04081513,Africa
GNQ,55.47366319,Africa
GRC,78.97253017,Europe
GRD,71.12022945,Other
GTM,69.34050502,North America
GUY,64.62860972,South America
HND,70.08108435,North America
HRV,75.01293534,Europe
HTI,57.58049169,North America
HUN,72.48544621,Europe
IDN,67.65122104,Asia
IND,64.16827815,Asia
IRL,77.48003704,Europe
IRN,74.01828515,Asia
IRQ,70.04461594,Asia
ISL,80.30310703,Europe
ISR,78.56218757,Asia
ITA,79.95596277,Europe
JAM,73.03304352,North America
JOR,72.9283168,Asia
JPN,82.10074471,Asia
KAZ,65.03142074,Asia
KEN,54.58698847,Africa
KGZ,66.25500987,Asia
KHM,60.98797015,Asia
KIR,60.60035552,Other
KOR,76.94317285,Asia
KWT,78.20659931,Asia
LAO,59.61142102,Asia
LBN,76.55400992,Asia
LBR,53.66640831,Africa
LBY,73.4501765,Africa
LCA,73.50932526,Other
LKA,73.3381305,Asia
LSO,47.82881329,Africa
LTU,71.6891841,Europe
LUX,78.80641336,Europe
LVA,70.10625692,Europe
MAR,70.73932756,Africa
MDA,66.13288732,Europe
MDG,59.4274793,Africa
MDV,71.06296933,Other
MEX,74.58875796,North America
MKD,72.91273812,Europe
MLI,54.16297861,Africa
MLT,78.4088864,Other
MMR,60.19994618,Asia
MNE,73.54605523,Europe
MNG,63.99267039,Asia
MOZ,51.47014119,Africa
MRT,64.15779119,Africa
MUS,71.67923755,Other
MWI,46.23607096,Africa
MYS,73.78194217,Asia
NAM,51.74325949,Africa
NER,51.88652859,Africa
NGA,54.96389545,Africa
NIC,75.92476263,North America
NLD,78.28829662,Europe
NOR,78.85942368,Other
NPL,66.45258988,Asia
NZL,78.65902491,Oceania
OMN,72.45728033,Asia
PAK,61.92897932,Asia
PAN,76.2835354,North America
PER,76.14080179,South America
PHL,69.42147225,Asia
PNG,63.43343076,Oceania
POL,74.45428635,Europe
PRI,77.12054839,North America
PRK,62.79218596,Asia
PRT,77.14647451,Europe
PRY,75.11313392,South America
PSE,68.63142308,Asia
QAT,70.33186981,Asia
ROU,70.90278508,Europe
RUS,64.86108252,Europe
RWA,50.60960504,Africa
SAU,71.0757645,Asia
SDN,63.22443726,Africa
SEN,59.79580137,Africa
SGP,79.33785577,Other
SLB,63.47177399,Oceania
SLE,51.28114602,Africa
SLV,73.27326528,North America
SOM,49.39676377,Africa
SRB,72.31660412,Europe
SSD,53.71928707,Africa
STP,64.65366231,Other
SUR,70.41647923,South America
SVK,73.72313973,Europe
SVN,76.50389555,Europe
SWE,79.75650347,Europe
SWZ,43.63857902,Africa
SYC,72.11976114,Other
SYR,72.00814832,Asia
TCD,51.79475115,Africa
TGO,56.21544389,Africa
THA,71.71439141,Asia
TJK,66.94490991,Asia
TKM,65.87608131,Asia
TLS,63.92197693,Asia
TON,71.2515614,Other
TTO,71.08783441,North America
TUN,74.75755844,Africa
TUR,74.77351879,Asia
TZA,54.24829544,Africa
UGA,50.65046911,Africa
UKR,67.49385199,Europe
URY,75.11068373,South America
USA,76.84998093,North America
UZB,62.19230023,Asia
VCT,72.01069433,Other
VEN,74.25516144,South America
VNM,72.06004934,Asia
VUT,65.03950977,Oceania
WSM,69.93318688,Other
YEM,64.16252882,Asia
ZAF,54.31987896,Africa
ZMB,45.80351415,Africa
ZWE,45.11250007,Africa
