iso3,life,continent
AFG,56.47652053,Asia
AGO,52.3558271,Africa
ALB,75.42557931,Europe
ARE,78.88949949,Asia
ARG,74.90566583,South America
ARM,72.03083518,Asia
ATG,75.37748429,Other
AUS,80.75565777,Oceania
AUT,79.11359324,Europe
AZE,67.38631087,Asia
BDI,49.43158352,Africa
BEL,78.79615664,Europe
BEN,58.86876901,Africa
BFA,54.3424593,Africa
BGD,67.36950715,Asia
BGR,72.48173145,Europe
BHR,70.9253368,Other
BHS,72.14409998,North America
BIH,76.62934847,Europe
BLR,68.80163482,Europe
BLZ,72.03089544,North America
BOL,68.28111683,South America
BRA,72.50201054,South America
BRB,74.61548026,Other
BRN,76.2980122,Asia
BTN,68.88514264,Asia
BWA,50.64076648,Africa
CAF,45.61618547,Africa
CAN,79.85004413,North America
CHE,80.94173199,Europe
CHL,77.54890712,South America
CHN,71.93150989,Asia
CIV,52.80209302,Africa
CMR,53.56554781,Africa
COD,54.34409074,Africa
COG,55.40549068,Africa
COL,73.98320442,South America
COM,63.97536549,Other
CPV,72.44024713,Other
CRI,78.67775018,North America
CUB,77.44558258,North America
CYP,79.27834154,Asia
CZE,75.78544673,Europe
DEU,79.02932323,Europe
DJI,59.74871021,Africa
DNK,77.68985024,Europe
DOM,72.74531085,North America
DZA,73.76320427,Africa
ECU,73.96568777,South America
EGY,69.18228637,Africa
ERI,57.68987112,Africa
ESP,79.99552369,Europe
EST,72.26375853,Europe
ETH,55.83373985,Africa
FIN,78.7283427,Europe
FJI,67.12182465,Oceania
FRA,80.00018858,Other
FSM,64.15853132,Other
GAB,58.70865642,Africa
GBR,78.67634871,Europe
GEO,70.54094248,Asia
GHA,59.79633543,Africa
GIN,56.03427492,Africa
GMB,60.16114704,Africa
GNB,51.76786398,Africa
GNQ,56.18357801,Africa
GRC,79.2117166,Europe
GRD,70.40655547,Other
GTM,69.65899192,North America
GUY,64.85780334,South America
HND,70.3400508,North America
HRV,75.62048664,Europe
HTI,57.54298421,North America
HUN,72.86168111,Europe
IDN,66.25106515,Asia
IND,65.06317912,Asia
IRL,78.39305519,Europe
IRN,74.56900109,Asia
IRQ,69.06294468,Asia
ISL,80.76637117,Europe
ISR,79.54240915,Asia
ITA,80.52668865,Europe
JAM,73.7183442,North America
JOR,73.56285182,Asia
JPN,82.37003875,Asia
KAZ,65.11633982,Asia
KEN,55.51027953,Africa
KGZ,66.99096069,Asia
KHM,62.73254827,Asia
KIR,60.91263256,Other
KOR,77.92814417,Asia
KWT,78.50276726,Asia
LAO,60.73825821,Asia
LBN,77.0970413,Asia
LBR,56.44158136,Africa
LBY,73.84878468,Africa
LCA,73.99518133,Other
LKA,69.11941478,Asia
LSO,43.80676222,Africa
LTU,71.87471415,Europe
LUX,79.25868688,Europe
LVA,70.8139625,Europe
MAR,71.03043411,Africa
MDA,66.63893532,Europe
MDG,60.11149963,Africa
MDV,71.34887566,Other
MEX,75.04316184,North America
MKD,73.62319794,Europe
MLI,55.6927022,Africa
MLT,78.90071191,Other
MMR,61.06960565,Asia
MNE,73.73506539,Europe
MNG,64.84071925,Asia
MOZ,51.81518653,Africa
MRT,65.40083987,Africa
MUS,71.98706152,Other
MWI,48.06087588,Africa
MYS,73.82138244,Asia
NAM,51.6479279,Africa
NER,53.86159387,Africa
NGA,56.18946769,Africa
NIC,75.88808385,North America
NLD,79.09591855,Europe
NOR,79.81803393,Other
NPL,67.69735163,Asia
NZL,79.15482107,Oceania
OMN,73.14911872,Asia
PAK,62.44387744,Asia
PAN,76.4816701,North America
PER,76.9955842,South America
PHL,69.2903715,Asia
PNG,63.6270316,Oceania
POL,74.76713155,Europe
PRI,77.47011967,North America
PRK,69.49692995,Asia
PRT,78.12094465,Europe
PRY,74.56424274,South America
PSE,69.48491624,Asia
QAT,70.84074247,Asia
ROU,71.76511513,Europe
RUS,65.14346957,Europe
RWA,54.65577616,Africa
SAU,71.6044008,Asia
SDN,63.6815858,Africa
SEN,61.57202557,Africa
SGP,80.33727579,Other
SLB,63.61418491,Oceania
SLE,51.79598226,Africa
SLV,73.29271781,North America
SOM,49.44567549,Africa
SRB,72.65350507,Europe
SSD,55.24391875,Africa
STP,65.71008672,Other
SUR,70.80110636,South America
SVK,74.14711692,Europe
SVN,77.10892927,Europe
SWE,80.35214323,Europe
SWZ,41.87434793,Africa
SYC,72.21510064,Other
SYR,72.88238933,Asia
TCD,52.48451206,Africa
TGO,56.74808404,Africa
THA,72.04096222,Asia
TJK,67.99767342,Asia
TKM,65.61545494,Asia
TLS,65.10952919,Asia
TON,71.44335848,Other
TTO,71.34856579,North America
TUN,75.17294716,Africa
TUR,75.833599,Asia
TZA,55.69111865,Africa
UGA,53.13418916,Africa
UKR,67.43010343,Europe
URY,75.26030661,South America
USA,77.3972613,North America
UZB,63.42369036,Asia
VCT,72.36667565,Other
VEN,74.41023981,South America
VNM,72.15340395,Asia
VUT,65.14603809,Oceania
WSM,70.17537437,Other
YEM,65.2063964,Asia
ZAF,52.24650084,Africa
ZMB,48.77289416,Africa
ZWE,45.152854,Africa
