iso3,life,continent
AFG,60.48797975,Asia
AGO,62.27158067,Africa
ALB,77.93851855,Europe
ARE,81.16639668,Asia
ARG,76.88825006,South America
ARM,75.62030513,Asia
ATG,75.62352245,Other
AUS,83.02313357,Oceania
AUT,81.42361625,Europe
AZE,75.13145241,Asia
BDI,64.02759286,Africa
BEL,81.2494226,Europe
BEN,63.73859672,Africa
BFA,62.36096547,Africa
BGD,73.67380343,Asia
BGR,74.85071858,Europe
BHR,75.93620907,Other
BHS,73.38286364,North America
BIH,77.32123917,Europe
BLR,74.34647413,Europe
BLZ,74.57665716,North America
BOL,72.69070111,South America
BRA,75.31944699,South America
BRB,76.28319327,Other
BRN,76.40808264,Asia
BTN,73.75301201,Asia
BWA,64.53046521,Africa
CAF,52.13733768,Africa
CAN,81.73382897,North America
CHE,83.28963498,Europe
CHL,80.96185803,South America
CHN,77.14021145,Asia
CIV,62.90790762,Africa
CMR,61.3869156,Africa
COD,61.4317933,Africa
COG,63.05964242,Africa
COL,77.82372796,South America
COM,68.19621524,Other
CPV,73.8583216,Other
CRI,80.28882351,North America
CUB,77.85421876,North America
CYP,82.05668584,Asia
CZE,78.89195159,Europe
DEU,80.64820055,Europe
DJI,65.12011598,Africa
DNK,80.82345271,Europe
DOM,73.52093617,North America
DZA,76.4358357,Africa
ECU,77.46907136,South America
EGY,71.35791195,Africa
ERI,63.47224104,Africa
ESP,82.76765981,Europe
EST,78.3489275,Europe
ETH,68.47192846,Africa
FIN,81.40768747,Europe
FJI,67.86709271,Oceania
FRA,82.37708106,Other
FSM,65.82693994,Other
GAB,64.70364722,Africa
GBR,80.6238199,Europe
GEO,73.81278834,Asia
GHA,65.51554359,Africa
GIN,60.65900972,Africa
GMB,64.60661374,Africa
GNB,58.6003654,Africa
GNQ,61.42093734,Africa
GRC,81.05191982,Europe
GRD,72.78877041,Other
GTM,72.72918484,North America
GUY,68.74661773,South America
HND,71.31264864,North America
HRV,78.33929688,Europe
HTI,63.47163817,North America
HUN,76.08502162,Europe
IDN,71.1760389,Asia
IND,70.35439242,Asia
IRL,81.71153553,Europe
IRN,77.69013655,Asia
IRQ,73.06286041,Asia
ISL,82.37332681,Europe
ISR,82.59262272,Asia
ITA,82.77664183,Europe
JAM,72.51790169,North America
JOR,79.63154866,Asia
JPN,84.35134487,Asia
KAZ,73.16779578,Asia
KEN,66.06922549,Africa
KGZ,73.2888512,Asia
KHM,69.35586113,Asia
KIR,60.74880481,Other
KOR,83.15048365,Asia
KWT,82.93662831,Asia
LAO,68.05389772,Asia
LBN,79.36847038,Asia
LBR,63.09159913,Africa
LBY,73.52909525,Africa
LCA,76.11272762,Other
LKA,77.17579214,Asia
LSO,51.60129602,Africa
LTU,75.75173506,Europe
LUX,82.81654634,Europe
LVA,75.05473366,Europe
MAR,73.60592779,Africa
MDA,72.90339608,Europe
MDG,63.71423448,Africa
MDV,78.67792046,Other
MEX,75.91673747,North America
MKD,76.46395817,Europe
MLI,61.31661022,Africa
MLT,82.26456738,Other
MMR,68.55999093,Asia
MNE,77.222772,Europe
MNG,70.47775442,Asia
MOZ,57.94330191,Africa
MRT,69.9973737,Africa
MUS,74.02503816,Other
MWI,62.91863389,Africa
MYS,74.52805915,Asia
NAM,62.82854728,Africa
NER,60.43807872,Africa
NGA,62.68563037,Africa
NIC,78.45090354,North America
NLD,81.8952079,Europe
NOR,82.44230107,Other
NPL,71.10245577,Asia
NZL,81.75540508,Oceania
OMN,74.96470035,Asia
PAK,66.73689511,Asia
PAN,78.651343,North America
PER,78.99013811,South America
PHL,69.67627942,Asia
PNG,66.51753655,Oceania
POL,77.56054122,Europe
PRI,80.71857467,North America
PRK,72.10726148,Asia
PRT,81.06316039,Europe
PRY,75.22367023,South America
PSE,75.71172174,Asia
QAT,78.6332828,Asia
ROU,75.12257592,Europe
RUS,72.66311936,Europe
RWA,67.62644841,Africa
SAU,76.81092084,Asia
SDN,69.24813878,Africa
SEN,68.44236378,Africa
SGP,83.50811882,Other
SLB,65.55013712,Oceania
SLE,59.8662114,Africa
SLV,74.65055232,North America
SOM,54.6726292,Africa
SRB,75.88354818,Europe
SSD,58.86129412,Africa
STP,71.4403986,Other
SUR,73.08581977,South America
SVK,77.19646571,Europe
SVN,80.95873943,Europe
SWE,82.20163712,Europe
SWZ,54.73682091,Africa
SYC,73.08090426,Other
SYR,64.30375249,Asia
TCD,58.95783062,Africa
TGO,63.07923124,Africa
THA,77.14916132,Asia
TJK,73.49599296,Asia
TKM,69.07787312,Asia
TLS,68.36839208,Asia
TON,72.84423109,Other
TTO,73.99505843,North America
TUN,77.23195746,Africa
TUR,77.55827507,Asia
TZA,66.39625941,Africa
UGA,65.71888649,Africa
UKR,72.71826067,Europe
URY,77.03739696,South America
USA,78.62912526,North America
UZB,71.46640597,Asia
VCT,73.17900227,Other
VEN,72.81771282,South America
VNM,73.56096825,Asia
VUT,67.04714117,Oceania
WSM,70.09269594,Other
YEM,66.38937201,Asia
ZAF,65.31532246,Africa
ZMB,61.41187871,Africa
ZWE,58.69836684,Africa
