iso3,life,continent
AFG,57.2548387,Asia
AGO,55.35489997,Africa
ALB,74.53678554,Europe
ARE,80.5952165,Asia
ARG,75.05610078,South America
ARM,72.53070418,Asia
ATG,74.95910853,Other
AUS,81.37282665,Oceania
AUT,80.0322621,Europe
AZE,69.26431968,Asia
BDI,56.45412415,Africa
BEL,79.56569667,Europe
BEN,59.82688455,Africa
BFA,56.71279625,Africa
BGD,68.42856138,Asia
BGR,72.92323217,Europe
BHR,72.38722676,Other
BHS,73.08736276,North America
BIH,76.26128187,Europe
BLR,70.20054242,Europe
BLZ,73.05180238,North America
BOL,69.47053335,South America
BRA,73.5789865,South America
BRB,75.24398474,Other
BRN,76.66441769,Asia
BTN,70.47630807,Asia
BWA,55.77024629,Africa
CAF,47.39415912,Africa
CAN,80.38195578,North America
CHE,81.59797301,Europe
CHL,78.48498969,South America
CHN,73.8389379,Asia
CIV,55.73160801,Africa
CMR,55.00397444,Africa
COD,55.97784827,Africa
COG,58.25955292,Africa
COL,75.19865773,South America
COM,64.77430676,Other
CPV,73.46976452,Other
CRI,80.2305467,North America
CUB,78.10025005,North America
CYP,80.21271187,Asia
CZE,76.86519129,Europe
DEU,79.79113261,Europe
DJI,60.99155224,Africa
DNK,78.29892667,Europe
DOM,72.98138698,North America
DZA,74.59216684,Africa
ECU,74.34691701,South America
EGY,69.74814425,Africa
ERI,59.29093298,Africa
ESP,80.67591348,Europe
EST,73.12739174,Europe
ETH,59.72840645,Africa
FIN,79.26874907,Europe
FJI,67.10363711,Oceania
FRA,80.79627532,Other
FSM,64.36936061,Other
GAB,60.67060002,Africa
GBR,79.41525763,Europe
GEO,72.55257679,Asia
GHA,60.66755486,Africa
GIN,57.16190125,Africa
GMB,61.11617054,Africa
GNB,53.47365795,Africa
GNQ,58.62674902,Africa
GRC,79.45113677,Europe
GRD,71.03136798,Other
GTM,70.68269963,North America
GUY,65.67248785,South America
HND,70.94703187,North America
HRV,75.91802017,Europe
HTI,59.85463205,North America
HUN,73.45839333,Europe
IDN,68.63781807,Asia
IND,66.09434841,Asia
IRL,79.35545225,Europe
IRN,75.56586174,Asia
IRQ,67.80830577,Asia
ISL,81.14698057,Europe
ISR,80.12300616,Asia
ITA,81.17657713,Europe
JAM,69.58643623,North America
JOR,74.97453582,Asia
JPN,82.7592849,Asia
KAZ,65.80148574,Asia
KEN,58.55063756,Africa
KGZ,67.79056016,Asia
KHM,65.07853491,Asia
KIR,61.1868882,Other
KOR,79.37954426,Asia
KWT,79.05909554,Asia
LAO,62.60763355,Asia
LBN,77.46682627,Asia
LBR,59.31134066,Africa
LBY,74.50020642,Africa
LCA,75.22231763,Other
LKA,73.81640208,Asia
LSO,43.88764108,Africa
LTU,70.61092139,Europe
LUX,80.26355488,Europe
LVA,70.75226957,Europe
MAR,71.60883866,Africa
MDA,67.22688687,Europe
MDG,61.67182144,Africa
MDV,73.714686,Other
MEX,75.52454869,North America
MKD,73.65892824,Europe
MLI,57.34348988,Africa
MLT,79.64226641,Other
MMR,62.77565744,Asia
MNE,74.67252275,Europe
MNG,66.37749458,Asia
MOZ,52.58518387,Africa
MRT,67.11455039,Africa
MUS,72.6045072,Other
MWI,52.54577058,Africa
MYS,74.43641055,Asia
NAM,56.83641554,Africa
NER,56.45936065,Africa
NGA,58.17779892,Africa
NIC,76.42101694,North America
NLD,80.12725056,Europe
NOR,80.35099102,Other
NPL,68.80504578,Asia
NZL,80.04299252,Oceania
OMN,73.4022288,Asia
PAK,63.38445782,Asia
PAN,76.98645861,North America
PER,78.66735579,South America
PHL,69.58190674,Asia
PNG,64.07514301,Oceania
POL,75.17671647,Europe
PRI,78.30688641,North America
PRK,69.69220494,Asia
PRT,78.95554595,Europe
PRY,74.95391274,South America
PSE,70.80594736,Asia
QAT,71.89910857,Asia
ROU,73.13558178,Europe
RUS,67.42224647,Europe
RWA,60.82526391,Africa
SAU,72.35473902,Asia
SDN,65.760154,Africa
SEN,63.89029063,Africa
SGP,80.58124756,Other
SLB,63.76837921,Oceania
SLE,52.87597512,Africa
SLV,74.16542856,North America
SOM,49.97697257,Africa
SRB,73.57700553,Europe
SSD,57.0352965,Africa
STP,67.22798633,Other
SUR,72.06527282,South America
SVK,74.470327,Europe
SVN,78.21314391,Europe
SWE,80.77300072,Europe
SWZ,43.59627355,Africa
SYC,72.47348081,Other
SYR,73.62412875,Asia
TCD,53.97297101,Africa
TGO,57.69120242,Africa
THA,73.93719029,Asia
TJK,68.67357175,Asia
TKM,66.17071827,Asia
TLS,66.33184634,Asia
TON,72.00901963,Other
TTO,72.39472984,North America
TUN,75.74953958,Africa
TUR,76.70654932,Asia
TZA,59.37881257,Africa
UGA,56.83050321,Africa
UKR,67.5915603,Europe
URY,75.38115954,South America
USA,77.94056193,North America
UZB,64.796684,Asia
VCT,73.25297188,Other
VEN,74.52946535,South America
VNM,72.30106944,Asia
VUT,65.5182575,Oceania
WSM,70.4708852,Other
YEM,66.73494764,Asia
ZAF,52.90958642,Africa
ZMB,53.57698997,Africa
ZWE,47.34902637,Africa
