iso3,life,continent
AFG,59.00377167,Asia
AGO,57.96461105,Africa
ALB,76.21290189,Europe
ARE,80.45344335,Asia
ARG,75.76938267,South America
ARM,73.01384261,Asia
ATG,75.57823922,Other
AUS,81.91408232,Oceania
AUT,80.39157197,Europe
AZE,69.81386619,Asia
BDI,59.59915923,Africa
BEL,79.84805119,Europe
BEN,61.3045144,Africa
BFA,58.61217661,Africa
BGD,70.06425679,Asia
BGR,73.66597105,Europe
BHR,73.86198294,Other
BHS,72.74533372,North America
BIH,76.98324032,Europe
BLR,70.35076033,Europe
BLZ,73.60567774,North America
BOL,70.42881387,South America
BRA,73.92337469,South America
BRB,75.95734033,Other
BRN,76.97095289,Asia
BTN,71.72710313,Asia
BWA,57.62665956,Africa
CAF,49.20179696,Africa
CAN,81.14359407,North America
CHE,82.19541207,Europe
CHL,78.83198498,South America
CHN,74.65168239,Asia
CIV,57.33114203,Africa
CMR,56.78466995,Africa
COD,57.39937072,Africa
COG,60.60462815,Africa
COL,75.96054748,South America
COM,65.96560133,Other
CPV,74.23169531,Other
CRI,79.51380421,North America
CUB,77.83366676,North America
CYP,81.17822871,Asia
CZE,77.55051822,Europe
DEU,80.18047005,Europe
DJI,62.01403181,Africa
DNK,79.16903741,Europe
DOM,73.80111624,North America
DZA,75.28662824,Africa
ECU,75.14738891,South America
EGY,69.83444177,Africa
ERI,60.44258181,Africa
ESP,81.693057,Europe
EST,75.84300326,Europe
ETH,63.25475143,Africa
FIN,79.86591036,Europe
FJI,67.3135839,Oceania
FRA,81.2215994,Other
FSM,64.77779493,Other
GAB,61.73354089,Africa
GBR,80.25257339,Europe
GEO,71.81805259,Asia
GHA,61.9748058,Africa
GIN,58.26432378,Africa
GMB,62.35679034,Africa
GNB,55.34491742,Africa
GNQ,60.00998447,Africa
GRC,80.23861699,Europe
GRD,71.08230057,Other
GTM,71.06943555,North America
GUY,66.14634849,South America
HND,70.83426628,North America
HRV,76.79829944,Europe
HTI,39.95809831,North America
HUN,74.5619878,Europe
IDN,69.23625966,Asia
IND,67.480793,Asia
IRL,80.6170111,Europe
IRN,76.56624741,Asia
IRQ,71.06507591,Asia
ISL,81.68175374,Europe
ISR,81.53399975,Asia
ITA,81.89505601,Europe
JAM,73.95794492,North America
JOR,76.68909265,Asia
JPN,83.08330199,Asia
KAZ,68.51031045,Asia
KEN,61.28276083,Africa
KGZ,69.19156126,Asia
KHM,66.7359551,Asia
KIR,61.36040242,Other
KOR,80.53713356,Asia
KWT,80.49475441,Asia
LAO,64.42237003,Asia
LBN,77.96731586,Asia
LBR,60.3582726,Africa
LBY,74.11333,Africa
LCA,76.00781498,Other
LKA,74.13617419,Asia
LSO,48.56510587,Africa
LTU,73.07761938,Europe
LUX,81.17521457,Europe
LVA,72.87994756,Europe
MAR,72.37286998,Africa
MDA,67.76693165,Europe
MDG,62.52359433,Africa
MDV,74.73135148,Other
MEX,74.95254484,North America
MKD,74.84175417,Europe
MLI,58.64806217,Africa
MLT,80.4834984,Other
MMR,64.64371806,Asia
MNE,75.71790981,Europe
MNG,67.10227644,Asia
MOZ,53.33150279,Africa
MRT,68.45329118,Africa
MUS,73.34550791,Other
MWI,56.87054565,Africa
MYS,74.02631776,Asia
NAM,60.12459181,Africa
NER,58.29155093,Africa
NGA,59.78799099,Africa
NIC,77.06996179,North America
NLD,80.68591395,Europe
NOR,80.86687696,Other
NPL,69.47191971,Asia
NZL,80.9444522,Oceania
OMN,73.02000136,Asia
PAK,64.14819561,Asia
PAN,76.99379194,North America
PER,78.21420603,South America
PHL,69.68865207,Asia
PNG,64.88774886,Oceania
POL,76.23355347,Europe
PRI,79.0570999,North America
PRK,70.02263868,Asia
PRT,79.74021661,Europe
PRY,74.73073675,South America
PSE,72.64524424,Asia
QAT,73.45657467,Asia
ROU,73.69918195,Europe
RUS,68.82506177,Europe
RWA,64.20018842,Africa
SAU,74.89591575,Asia
SDN,66.94489813,Africa
SEN,65.56526204,Africa
SGP,81.76163848,Other
SLB,64.36844431,Oceania
SLE,54.97106845,Africa
SLV,74.56329622,North America
SOM,49.52620758,Africa
SRB,74.27310939,Europe
SSD,58.75152485,Africa
STP,68.81769379,Other
SUR,72.79506364,South America
SVK,75.44924081,Europe
SVN,79.54577335,Europe
SWE,81.30465771,Europe
SWZ,46.38823095,Africa
SYC,73.11877031,Other
SYR,73.76180647,Asia
TCD,55.72346132,Africa
TGO,59.15723761,Africa
THA,75.29127601,Asia
TJK,69.92200868,Asia
TKM,69.12241685,Asia
TLS,67.00361983,Asia
TON,72.11458049,Other
TTO,73.32339874,North America
TUN,76.21500138,Africa
TUR,76.50699578,Asia
TZA,61.6819464,Africa
UGA,59.96020545,Africa
UKR,70.14904515,Europe
URY,76.48217264,South America
USA,78.6069239,North America
UZB,66.71556004,Asia
VCT,73.48342047,Other
VEN,74.662242,South America
VNM,72.48813081,Asia
VUT,66.08385743,Oceania
WSM,70.48867026,Other
YEM,67.95702862,Asia
ZAF,57.09683041,Africa
ZMB,57.42656833,Africa
ZWE,51.41783245,Africa
