iso3,life,continent
AFG,60.39366208,Asia
AGO,61.84956314,Africa
ALB,77.87870915,Europe
ARE,80.78348374,Asia
ARG,76.12474817,South America
ARM,74.40594896,Asia
ATG,75.54812509,Other
AUS,82.59341791,Oceania
AUT,81.38820091,Europe
AZE,73.96997105,Asia
BDI,63.24117705,Africa
BEL,81.07460591,Europe
BEN,63.0021663,Africa
BFA,61.35518157,Africa
BGD,73.44362068,Asia
BGR,74.77317639,Europe
BHR,75.65906707,Other
BHS,72.949178,North America
BIH,77.13183233,Europe
BLR,73.8924593,Europe
BLZ,74.39638983,North America
BOL,72.22076039,South America
BRA,74.56188231,South America
BRB,76.32461251,Other
BRN,76.41822612,Asia
BTN,73.28424565,Asia
BWA,62.99012308,Africa
CAF,51.50031283,Africa
CAN,81.74452018,North America
CHE,83.17109413,Europe
CHL,80.46247256,South America
CHN,76.71571735,Asia
CIV,61.62678525,Africa
CMR,59.79056297,Africa
COD,60.43572174,Africa
COG,62.56582962,Africa
COL,77.57662615,South America
COM,67.70212624,Other
CPV,74.86326568,Other
CRI,80.11048492,North America
CUB,78.14353782,North America
CYP,81.7149767,Asia
CZE,78.93030378,Europe
DEU,80.68537775,Europe
DJI,64.3388502,Africa
DNK,80.71406105,Europe
DOM,73.33430363,North America
DZA,76.27818922,Africa
ECU,77.17996695,South America
EGY,70.7024138,Africa
ERI,62.87736669,Africa
ESP,82.73070599,Europe
EST,77.71059498,Europe
ETH,67.58767511,Africa
FIN,81.11659919,Europe
FJI,67.7499939,Oceania
FRA,82.13202442,Other
FSM,65.5242044,Other
GAB,64.25526743,Africa
GBR,80.81034292,Europe
GEO,72.63239027,Asia
GHA,64.70727537,Africa
GIN,59.83918056,Africa
GMB,64.05468717,Africa
GNB,58.02773484,Africa
GNQ,60.85942801,Africa
GRC,80.71256832,Europe
GRD,72.49134059,Other
GTM,72.23492224,North America
GUY,67.56739413,South America
HND,71.09197895,North America
HRV,78.28594377,Europe
HTI,62.79654412,North America
HUN,76.07385445,Europe
IDN,70.77579907,Asia
IND,69.7812294,Asia
IRL,81.40605545,Europe
IRN,77.37336206,Asia
IRQ,71.1253103,Asia
ISL,82.17563351,Europe
ISR,82.22430729,Asia
ITA,82.86744999,Europe
JAM,72.33025467,North America
JOR,78.7600732,Asia
JPN,84.15707196,Asia
KAZ,72.39593644,Asia
KEN,65.03249549,Africa
KGZ,72.67043609,Asia
KHM,68.91001703,Asia
KIR,61.75804085,Other
KOR,82.73176167,Asia
KWT,82.54800559,Asia
LAO,67.33210713,Asia
LBN,78.81840788,Asia
LBR,62.21305435,Africa
LBY,72.63664308,Africa
LCA,76.20059158,Other
LKA,76.7665914,Asia
LSO,49.94866988,Africa
LTU,74.70145984,Europe
LUX,82.55544194,Europe
LVA,74.95310955,Europe
MAR,73.4071743,Africa
MDA,71.84582325,Europe
MDG,63.46510267,Africa
MDV,77.72035574,Other
MEX,75.76103333,North America
MKD,75.56274435,Europe
MLI,60.63666584,Africa
MLT,81.88080877,Other
MMR,67.8624826,Asia
MNE,77.06052079,Europe
MNG,69.64443247,Asia
MOZ,56.63490108,Africa
MRT,69.65770027,Africa
MUS,74.15809377,Other
MWI,62.19781015,Africa
MYS,74.41949575,Asia
NAM,62.05755741,Africa
NER,59.83593299,Africa
NGA,62.04834174,Africa
NIC,77.92580193,North America
NLD,81.34048104,Europe
NOR,82.11289124,Other
NPL,70.59248,Asia
NZL,81.73038595,Oceania
OMN,73.72044163,Asia
PAK,66.05197225,Asia
PAN,78.24463546,North America
PER,80.1644759,South America
PHL,69.24553796,Asia
PNG,66.19035356,Oceania
POL,77.66853135,Europe
PRI,80.23535619,North America
PRK,71.62258579,Asia
PRT,80.90466136,Europe
PRY,74.86420083,South America
PSE,74.99064876,Asia
QAT,78.22428304,Asia
ROU,75.08359177,Europe
RUS,71.6156235,Europe
RWA,67.17638437,Africa
SAU,76.75114086,Asia
SDN,68.65126932,Africa
SEN,67.7658388,Africa
SGP,83.24199269,Other
SLB,65.29462393,Oceania
SLE,58.75068972,Africa
SLV,73.58698324,North America
SOM,53.9446075,Africa
SRB,75.67951218,Europe
SSD,59.18616055,Africa
STP,70.89699364,Other
SUR,73.09259708,South America
SVK,77.15076737,Europe
SVN,80.81692358,Europe
SWE,82.00943962,Europe
SWZ,53.13250876,Africa
SYC,73.07491735,Other
SYR,60.12484476,Asia
TCD,58.31677511,Africa
TGO,62.01053382,Africa
THA,76.9976755,Asia
TJK,72.72427435,Asia
TKM,68.96406385,Asia
TLS,68.07445467,Asia
TON,72.56032607,Other
TTO,73.83467512,North America
TUN,76.91365109,Africa
TUR,76.66589183,Asia
TZA,65.60342077,Africa
UGA,64.67477151,Africa
UKR,72.62863559,Europe
URY,76.84527198,South America
USA,78.55677254,North America
UZB,69.95773109,Asia
VCT,72.98153488,Other
VEN,72.39034431,South America
VNM,73.21381033,Asia
VUT,66.91782394,Oceania
WSM,69.92083473,Other
YEM,67.6890605,Asia
ZAF,63.87748533,Africa
ZMB,60.96146792,Africa
ZWE,57.9178434,Africa
