iso3,life,continent
AFG,60.43497705,Asia
AGO,60.21682799,Africa
ALB,77.77410839,Europe
ARE,80.56393138,Asia
ARG,76.20888199,South America
ARM,74.18785118,Asia
ATG,75.71757904,Other
AUS,82.46342447,Oceania
AUT,80.91227276,Europe
AZE,72.08992478,Asia
BDI,61.79608792,Africa
BEL,80.32474948,Europe
BEN,62.11743236,Africa
BFA,59.96461158,Africa
BGD,72.59072924,Asia
BGR,74.79512219,Europe
BHR,75.02710867,Other
BHS,73.00901267,North America
BIH,77.21186094,Europe
BLR,72.59208184,Europe
BLZ,74.31081667,North America
BOL,71.33805685,South America
BRA,74.42169527,South America
BRB,76.24143589,Other
BRN,76.81966837,Asia
BTN,72.72164626,Asia
BWA,60.61242628,Africa
CAF,49.31139043,Africa
CAN,81.55829938,North America
CHE,82.47547076,Europe
CHL,79.82550323,South America
CHN,75.84030781,Asia
CIV,59.30998362,Africa
CMR,58.1602222,Africa
COD,58.89523659,Africa
COG,61.42791356,Africa
COL,77.2278702,South America
COM,66.72653391,Other
CPV,74.70386595,Other
CRI,80.59788537,North America
CUB,78.31147223,North America
CYP,81.84969587,Asia
CZE,78.1114359,Europe
DEU,80.28874618,Europe
DJI,63.13924805,Africa
DNK,80.1645831,Europe
DOM,73.27936819,North America
DZA,75.79056138,Africa
ECU,76.40415478,South America
EGY,70.47150621,Africa
ERI,61.71601531,Africa
ESP,82.47881258,Europe
EST,77.02989191,Europe
ETH,65.91159894,Africa
FIN,80.67798392,Europe
FJI,67.62910016,Oceania
FRA,81.81996075,Other
FSM,65.16296685,Other
GAB,63.25439162,Africa
GBR,80.68571114,Europe
GEO,72.60327856,Asia
GHA,63.58672686,Africa
GIN,59.12749175,Africa
GMB,63.42180565,Africa
GNB,56.92169618,Africa
GNQ,60.96850359,Africa
GRC,80.77961776,Europe
GRD,72.62189848,Other
GTM,71.749288,North America
GUY,66.2421095,South America
HND,69.35287284,North America
HRV,77.85314853,Europe
HTI,61.91874198,North America
HUN,75.59159743,Europe
IDN,70.05398814,Asia
IND,68.51609058,Asia
IRL,80.71347486,Europe
IRN,77.19669632,Asia
IRQ,71.2340952,Asia
ISL,82.07380529,Europe
ISR,81.92176085,Asia
ITA,82.2878749,Europe
JAM,74.2198557,North America
JOR,77.52470069,Asia
JPN,83.56021789,Asia
KAZ,70.6757737,Asia
KEN,63.11575218,Africa
KGZ,70.72932374,Asia
KHM,68.09456793,Asia
KIR,61.57296264,Other
KOR,81.68616863,Asia
KWT,81.73672815,Asia
LAO,65.9670211,Asia
LBN,78.16479469,Asia
LBR,61.38474407,Africa
LBY,74.21873286,Africa
LCA,76.18455493,Other
LKA,75.82006448,Asia
LSO,48.96059544,Africa
LTU,73.86695735,Europe
LUX,81.87819611,Europe
LVA,74.12560449,Europe
MAR,72.96566532,Africa
MDA,71.32497048,Europe
MDG,63.11657152,Africa
MDV,76.29978199,Other
MEX,75.92944746,North America
MKD,75.43073243,Europe
MLI,59.37937448,Africa
MLT,81.20455704,Other
MMR,66.44771624,Asia
MNE,76.3576393,Europe
MNG,68.39260768,Asia
MOZ,54.24267779,Africa
MRT,69.22463674,Africa
MUS,73.803364,Other
MWI,60.5549131,Africa
MYS,74.72307296,Asia
NAM,61.87769769,Africa
NER,59.22776171,Africa
NGA,61.04119261,Africa
NIC,77.25621199,North America
NLD,81.11693502,Europe
NOR,81.43412297,Other
NPL,69.97888467,Asia
NZL,81.36359879,Oceania
OMN,73.91615999,Asia
PAK,65.10777782,Asia
PAN,77.6523099,North America
PER,79.48260244,South America
PHL,69.44796065,Asia
PNG,65.47647701,Oceania
POL,76.86531254,Europe
PRI,79.37939532,North America
PRK,70.83607796,Asia
PRT,80.52727852,Europe
PRY,75.03958612,South America
PSE,74.20101603,Asia
QAT,75.79521614,Asia
ROU,75.00346495,Europe
RUS,70.69584464,Europe
RWA,66.2811484,Africa
SAU,77.33139242,Asia
SDN,67.75900519,Africa
SEN,66.58590644,Africa
SGP,82.36588027,Other
SLB,64.84559966,Oceania
SLE,57.05432525,Africa
SLV,74.78717919,North America
SOM,52.50391976,Africa
SRB,75.22896744,Europe
SSD,59.03400442,Africa
STP,69.94836441,Other
SUR,73.14787483,South America
SVK,76.47557345,Europe
SVN,80.1367942,Europe
SWE,81.64075183,Europe
SWZ,49.97813792,Africa
SYC,73.28849847,Other
SYR,64.68588767,Asia
TCD,57.01481483,Africa
TGO,60.71230247,Africa
THA,76.54383011,Asia
TJK,71.7590921,Asia
TKM,69.11794049,Asia
TLS,67.45652515,Asia
TON,72.30723111,Other
TTO,74.31731073,North America
TUN,76.61373105,Africa
TUR,76.83417226,Asia
TZA,64.03254511,Africa
UGA,62.71779853,Africa
UKR,71.55330688,Europe
URY,76.7019772,South America
USA,78.75952758,North America
UZB,68.3723982,Asia
VCT,72.60483816,Other
VEN,74.60132769,South America
VNM,72.83984641,Asia
VUT,66.60736544,Oceania
WSM,70.24040584,Other
YEM,68.75410162,Asia
ZAF,62.08498269,Africa
ZMB,59.35535185,Africa
ZWE,56.08364808,Africa
