iso3,life,continent
AFG,57.9008556,Asia
AGO,56.22016209,Africa
ALB,74.9883157,Europe
ARE,80.7993244,Asia
ARG,75.69496821,South America
ARM,72.48685716,Asia
ATG,75.05552794,Other
AUS,81.32192176,Oceania
AUT,80.26667316,Europe
AZE,68.71279885,Asia
BDI,57.79081906,Africa
BEL,79.56481171,Europe
BEN,60.45115465,Africa
BFA,57.43072999,Africa
BGD,69.03267464,Asia
BGR,73.24591413,Europe
BHR,72.89097198,Other
BHS,72.97662842,North America
BIH,76.76846848,Europe
BLR,70.33830973,Europe
BLZ,73.53821496,North America
BOL,69.78566323,South America
BRA,73.71397618,South America
BRB,75.50932099,Other
BRN,76.7179356,Asia
BTN,70.90903814,Asia
BWA,56.1793813,Africa
CAF,48.29879732,Africa
CAN,80.56313756,North America
CHE,81.86194325,Europe
CHL,79.19803048,South America
CHN,73.99659977,Asia
CIV,56.57054792,Africa
CMR,55.69426406,Africa
COD,56.32188866,Africa
COG,59.22236239,Africa
COL,75.40888643,South America
COM,65.33611843,Other
CPV,73.93039416,Other
CRI,80.2939043,North America
CUB,77.87743841,North America
CYP,80.589293,Asia
CZE,77.1537423,Europe
DEU,79.87792037,Europe
DJI,61.38655907,Africa
DNK,78.63896492,Europe
DOM,73.27970118,North America
DZA,74.83898594,Africa
ECU,74.40727021,South America
EGY,69.77109335,Africa
ERI,59.61833756,Africa
ESP,80.97341639,Europe
EST,74.24703915,Europe
ETH,61.00289968,Africa
FIN,79.5834765,Europe
FJI,67.02758771,Oceania
FRA,80.87497757,Other
FSM,64.49273801,Other
GAB,60.80435396,Africa
GBR,79.53700634,Europe
GEO,71.71817156,Asia
GHA,61.08557755,Africa
GIN,57.53628959,Africa
GMB,61.50169712,Africa
GNB,54.20231863,Africa
GNQ,59.26655739,Africa
GRC,79.9292479,Europe
GRD,70.92544169,Other
GTM,71.01416309,North America
GUY,65.75519494,South America
HND,70.9858569,North America
HRV,76.07190817,Europe
HTI,60.2556984,North America
HUN,74.0004346,Europe
IDN,68.84079087,Asia
IND,66.42718453,Asia
IRL,79.58286978,Europe
IRN,75.92719356,Asia
IRQ,69.80976267,Asia
ISL,81.29367071,Europe
ISR,80.42212771,Asia
ITA,81.37070791,Europe
JAM,70.6377363,North America
JOR,75.81217115,Asia
JPN,82.83288975,Asia
KAZ,67.14338476,Asia
KEN,59.48455643,Africa
KGZ,68.29544912,Asia
KHM,65.7502876,Asia
KIR,61.27006207,Other
KOR,79.90917941,Asia
KWT,78.26367194,Asia
LAO,63.1872824,Asia
LBN,77.52542218,Asia
LBR,59.75630294,Africa
LBY,74.20131986,Africa
LCA,75.53396399,Other
LKA,73.1378661,Asia
LSO,45.90439498,Africa
LTU,71.62596428,Europe
LUX,80.56515483,Europe
LVA,71.85232762,Europe
MAR,71.88491111,Africa
MDA,67.81121548,Europe
MDG,62.01528236,Africa
MDV,74.09191071,Other
MEX,75.08739804,North America
MKD,74.31760094,Europe
MLI,57.78455925,Africa
MLT,79.93204914,Other
MMR,56.90830711,Asia
MNE,75.02700903,Europe
MNG,66.90211117,Asia
MOZ,53.06339796,Africa
MRT,67.64336926,Africa
MUS,72.86571029,Other
MWI,54.26093144,Africa
MYS,74.19396011,Asia
NAM,58.62203403,Africa
NER,57.32288169,Africa
NGA,58.74901559,Africa
NIC,76.35592363,North America
NLD,80.25577925,Europe
NOR,80.49471477,Other
NPL,69.03486842,Asia
NZL,80.3067588,Oceania
OMN,73.35031827,Asia
PAK,63.66141289,Asia
PAN,76.98278869,North America
PER,78.86141336,South America
PHL,69.54674107,Asia
PNG,64.35307086,Oceania
POL,75.43243412,Europe
PRI,78.51538133,North America
PRK,69.79894796,Asia
PRT,79.19526814,Europe
PRY,74.99888647,South America
PSE,68.97864967,Asia
QAT,72.36968987,Asia
ROU,73.30477662,Europe
RUS,67.78990217,Europe
RWA,62.1374836,Africa
SAU,72.99776938,Asia
SDN,66.10814996,Africa
SEN,64.57897818,Africa
SGP,80.97823119,Other
SLB,64.05632367,Oceania
SLE,53.55359388,Africa
SLV,74.41041249,North America
SOM,50.31128296,Africa
SRB,73.82988623,Europe
SSD,57.67870573,Africa
STP,67.68827914,Other
SUR,72.20581026,South America
SVK,74.82525921,Europe
SVN,78.89957706,Europe
SWE,80.9280163,Europe
SWZ,44.27535626,Africa
SYC,72.66235739,Other
SYR,73.54815311,Asia
TCD,54.40322043,Africa
TGO,57.96842813,Africa
THA,74.46372111,Asia
TJK,69.0368299,Asia
TKM,66.98536912,Asia
TLS,66.57678716,Asia
TON,72.00245834,Other
TTO,72.03571655,North America
TUN,75.92697277,Africa
TUR,76.65466357,Asia
TZA,60.43730538,Africa
UGA,57.97310088,Africa
UKR,67.905744,Europe
URY,76.39345878,South America
USA,78.0493345,North America
UZB,65.44084852,Asia
VCT,73.51667142,Other
VEN,74.27958667,South America
VNM,72.35184572,Asia
VUT,65.68985149,Oceania
WSM,70.48283276,Other
YEM,67.19372426,Asia
ZAF,53.91253666,Africa
ZMB,55.35570144,Africa
ZWE,48.32688541,Africa
