iso3,life,continent
AFG,59.54863714,Asia
AGO,58.75334146,Africa
ALB,76.61868023,Europe
ARE,80.25767057,Asia
ARG,75.94927296,South America
ARM,73.30611739,Asia
ATG,75.62067241,Other
AUS,81.93172968,Oceania
AUT,80.73795859,Europe
AZE,70.38906117,Asia
BDI,60.40539714,Africa
BEL,80.16687766,Europe
BEN,61.56618181,Africa
BFA,59.07175267,Africa
BGD,71.08337441,Asia
BGR,74.07018001,Europe
BHR,74.19533253,Other
BHS,72.74543627,North America
BIH,77.05795229,Europe
BLR,70.57181476,Europe
BLZ,73.84911498,North America
BOL,70.72011626,South America
BRA,74.01518436,South America
BRB,76.02367426,Other
BRN,76.98951902,Asia
BTN,72.1269544,Asia
BWA,58.41247242,Africa
CAF,49.46797321,Africa
CAN,81.40188658,North America
CHE,82.36855875,Europe
CHL,79.55204941,South America
CHN,75.03511843,Asia
CIV,57.55420401,Africa
CMR,57.25716759,Africa
COD,57.88760041,Africa
COG,61.13100658,Africa
COL,76.68552906,South America
COM,65.80471815,Other
CPV,74.33323277,Other
CRI,80.26271645,North America
CUB,78.52888871,North America
CYP,81.38772648,Asia
CZE,77.78639074,Europe
DEU,80.46331457,Europe
DJI,62.33627596,Africa
DNK,79.68812406,Europe
DOM,74.02906414,North America
DZA,75.4488721,Africa
ECU,75.58177801,South America
EGY,70.08390953,Africa
ERI,60.90743675,Africa
ESP,81.81256597,Europe
EST,76.28720152,Europe
ETH,64.25857509,Africa
FIN,80.2843093,Europe
FJI,67.39745191,Oceania
FRA,81.57719696,Other
FSM,64.90882285,Other
GAB,62.08769123,Africa
GBR,80.64139781,Europe
GEO,71.94043757,Asia
GHA,62.58287212,Africa
GIN,58.59208329,Africa
GMB,62.84614338,Africa
GNB,55.96327117,Africa
GNQ,59.83129965,Africa
GRC,80.35771121,Europe
GRD,72.12250252,Other
GTM,71.55408827,North America
GUY,66.13531761,South America
HND,70.68279372,North America
HRV,77.21146034,Europe
HTI,61.10474412,North America
HUN,74.90161819,Europe
IDN,69.52313433,Asia
IND,67.83941098,Asia
IRL,80.38545702,Europe
IRN,76.87171379,Asia
IRQ,71.39863224,Asia
ISL,81.86017778,Europe
ISR,81.64888794,Asia
ITA,81.82897949,Europe
JAM,72.86139713,North America
JOR,76.9077149,Asia
JPN,82.82691604,Asia
KAZ,69.12835849,Asia
KEN,61.98126671,Africa
KGZ,69.54394591,Asia
KHM,67.25370356,Asia
KIR,61.40193967,Other
KOR,80.95337202,Asia
KWT,81.44805413,Asia
LAO,65.03889894,Asia
LBN,77.97377185,Asia
LBR,60.73430361,Africa
LBY,71.43952101,Africa
LCA,76.24846107,Other
LKA,74.95837466,Asia
LSO,49.10182257,Africa
LTU,73.54804338,Europe
LUX,81.39260196,Europe
LVA,73.67057625,Europe
MAR,72.57738576,Africa
MDA,69.82070445,Europe
MDG,62.75965875,Africa
MDV,75.10252928,Other
MEX,75.42631561,North America
MKD,74.96127325,Europe
MLI,59.04750126,Africa
MLT,80.71689503,Other
MMR,65.22860154,Asia
MNE,75.9899009,Europe
MNG,67.30366439,Asia
MOZ,53.5270243,Africa
MRT,68.79857098,Africa
MUS,73.5157206,Other
MWI,58.10856356,Africa
MYS,74.23051803,Asia
NAM,60.88311335,Africa
NER,58.60580875,Africa
NGA,60.1981229,Africa
NIC,76.94363065,North America
NLD,80.95610777,Europe
NOR,80.96925391,Other
NPL,69.60828031,Asia
NZL,80.74980096,Oceania
OMN,73.21785366,Asia
PAK,64.54188869,Asia
PAN,77.51683567,North America
PER,78.64438915,South America
PHL,69.78448284,Asia
PNG,65.03278821,Oceania
POL,76.56402189,Europe
PRI,78.60025958,North America
PRK,70.26241873,Asia
PRT,80.24005801,Europe
PRY,74.93009617,South America
PSE,72.78320408,Asia
QAT,74.27799506,Asia
ROU,74.44084112,Europe
RUS,69.77052933,Europe
RWA,65.04603076,Africa
SAU,76.13164239,Asia
SDN,67.06889355,Africa
SEN,65.97224307,Africa
SGP,81.96030215,Other
SLB,64.51306313,Oceania
SLE,55.66429433,Africa
SLV,74.57443118,North America
SOM,43.81163424,Africa
SRB,74.54862943,Europe
SSD,58.95406766,Africa
STP,69.19904607,Other
SUR,73.11587921,South America
SVK,75.93326104,Europe
SVN,79.84960348,Europe
SWE,81.52274171,Europe
SWZ,48.07568339,Africa
SYC,73.29952908,Other
SYR,71.88413217,Asia
TCD,56.17787256,Africa
TGO,59.7945853,Africa
THA,75.71879745,Asia
TJK,70.42452045,Asia
TKM,69.23413358,Asia
TLS,67.28464088,Asia
TON,72.18060639,Other
TTO,74.01459781,North America
TUN,76.36110917,Africa
TUR,76.69522957,Asia
TZA,62.26370092,Africa
UGA,60.87012607,Africa
UKR,70.93317751,Europe
URY,76.59711654,South America
USA,78.65364022,North America
UZB,67.18064136,Asia
VCT,73.21012386,Other
VEN,74.58939214,South America
VNM,72.61270345,Asia
VUT,66.2618784,Oceania
WSM,70.50058194,Other
YEM,68.13030665,Asia
ZAF,59.100348,Africa
ZMB,58.02295113,Africa
ZWE,53.27755042,Africa
